"index","Familie","Gattung","Art","D_0__Archaea","D_0__Bacteria","D_0__Eukaryota"
"FRA1411BONG1","Bovidae","Tragelaphus","Bongo",136,27338,0
"FRA1411BONG2","Bovidae","Tragelaphus","Bongo",72,16507,0
"FRA1411FENN5","Canidae","Vulpes","Fennek",0,16598,0
"FRA1411GIRA1","Giraffidae","Giraffa","Giraffe",14,4291,0
"FRA1411GIRA2","Giraffidae","Giraffa","Giraffe",124,12595,0
"FRA1411ROST1","Felidae","Prionailurus","Rostkatze",0,13960,0
"FRA1411ROST11","Felidae","Prionailurus","Rostkatze",0,32200,0
"FRA1411ROST12","Felidae","Prionailurus","Rostkatze",0,12520,0
"FRA1411ROST14","Felidae","Prionailurus","Rostkatze",0,32062,0
"FRA1411ROST15","Felidae","Prionailurus","Rostkatze",0,18081,0
"FRA1411ROST2","Felidae","Prionailurus","Rostkatze",0,10893,0
"FRA1411ROST3","Felidae","Prionailurus","Rostkatze",0,7803,0
"FRA1411ROST4","Felidae","Prionailurus","Rostkatze",0,9318,0
"FRA1411ROST5","Felidae","Prionailurus","Rostkatze",0,8611,0
"FRA1411ROST6","Felidae","Prionailurus","Rostkatze",0,9986,0
"FRA1411ROST7","Felidae","Prionailurus","Rostkatze",0,52055,0
"FRA1411ROST8","Felidae","Prionailurus","Rostkatze",0,34535,0
"FRA1411ROST9","Felidae","Prionailurus","Rostkatze",0,29030,0
"FRA1411TRAM1","Camelidae","Camelus","Trampeltier",223,7916,0
"FRA1411TRAM2","Camelidae","Camelus","Trampeltier",548,26657,0
"FRA1411WALD11","Canidae","Speothos","Waldhund",0,13999,0
"FRA1411WILD10","Canidae","Lycaon","Wildhund",0,15731,0
"FRA1411WILD11","Canidae","Lycaon","Wildhund",0,12056,0
"FRA1411WILD7","Canidae","Lycaon","Wildhund",0,13754,0
"FRA1411WILD8","Canidae","Lycaon","Wildhund",0,14152,0
"FRA1411WILD9","Canidae","Lycaon","Wildhund",0,20404,0
"FRA1411ZEBR1","Equidae","Equus","Grevyzebra",0,3292,0
"FRA1411ZEBR2","Equidae","Equus","Grevyzebra",0,5257,0
"FRA1807KANI1","Leporidae","Oryctolagus","Kaninchen",0,53010,0
"FRA2506FENN1","Canidae","Vulpes","Fennek",0,8323,0
"FRA2506FENN2","Canidae","Vulpes","Fennek",51,5362,0
"FRA2506TIGA1","Felidae","Panthera","Tiger",115,14242,0
"FRA2506TIGA2","Felidae","Panthera","Tiger",0,11387,0
"FRA2506WALD1","Canidae","Speothos","Waldhund",0,11982,0
"FRA2506WALD2","Canidae","Speothos","Waldhund",0,67153,0
"FRA2506WILD1","Canidae","Lycaon","Wildhund",0,1848,0
"FRA2506WILD2","Canidae","Lycaon","Wildhund",0,2478,0
"FRA2506WILD3","Canidae","Lycaon","Wildhund",0,2001,0
"FRA2508KANI1","Leporidae","Oryctolagus","Kaninchen",0,20848,0
"FRA2508KANI2","Leporidae","Oryctolagus","Kaninchen",0,12284,0
"FRA2606TIGA3","Felidae","Panthera","Tiger",0,14940,0
"FRA2606TIGA4","Felidae","Panthera","Tiger",0,7252,0
"FRA2606WALD3","Canidae","Speothos","Waldhund",0,7608,0
"FRA2606WALD4","Canidae","Speothos","Waldhund",0,8518,0
"FRA2706TIGA5","Felidae","Panthera","Tiger",0,11564,0
"FRA2706TIGA6","Felidae","Panthera","Tiger",0,9863,0
"FRA2806TIGA7","Felidae","Panthera","Tiger",0,12334,0
"FRA2806TIGA8","Felidae","Panthera","Tiger",0,6104,0
"FRA2806WALD5","Canidae","Speothos","Waldhund",0,13494,0
"FRA2806WALD6","Canidae","Speothos","Waldhund",0,6456,0
"FRA2906TIGA9","Felidae","Panthera","Tiger",111,16169,0
"FRA2906WALD7","Canidae","Speothos","Waldhund",0,9852,0
"FRA2906WALD8","Canidae","Speothos","Waldhund",0,7408,0
"FRA3006LOEW1","Felidae","Panthera","Loewe",0,3721,0
"FRA3006LOEW2","Felidae","Panthera","Loewe",0,10292,0
"FRA3007KANI1","Leporidae","Oryctolagus","Kaninchen",0,22401,0
"FRA3007KANI2","Leporidae","Oryctolagus","Kaninchen",0,15179,0
"GEL0910BRAU1","Ursidae","Ursus","Braunbaer",0,18940,0
"GEL0910BRAU2","Ursidae","Ursus","Braunbaer",0,7718,0
"GEL0910BRAU3","Ursidae","Ursus","Braunbaer",0,25836,0
"GEL0910BRAU4","Ursidae","Ursus","Braunbaer",0,14372,0
"GEL0910EISB1","Ursidae","Ursus","Eisbaer",0,9919,0
"GEL0910EISB2","Ursidae","Ursus","Eisbaer",0,31770,0
"GEL0910EISB3","Ursidae","Ursus","Eisbaer",0,26777,0
"GEL0910ERDM1","Herpestidae","Suricata","Erdmaennchen",0,15129,0
"GEL0910ERDM2","Herpestidae","Suricata","Erdmaennchen",0,13564,0
"GEL0910ERDM3","Herpestidae","Suricata","Erdmaennchen",0,9337,0
"GEL0910FLUS1","Hippopotamidae","Hippopotamus","Flusspferd",26,12550,0
"GEL0910FLUS2","Hippopotamidae","Hippopotamus","Flusspferd",37,9730,0
"GEL0910FLUS3","Hippopotamidae","Hippopotamus","Flusspferd",145,8741,0
"GEL0910IMPA1","Bovidae","Aepyceros","Impala",345,7133,0
"GEL0910IMPA2","Bovidae","Aepyceros","Impala",109,4312,0
"GEL0910IMPA3","Bovidae","Aepyceros","Impala",325,10347,0
"GEL0910IMPA4","Bovidae","Aepyceros","Impala",0,2119,0
"GEL0910KAMT1","Ursidae","Ursus","Braunbaer",0,18146,0
"GEL0910KAMT2","Ursidae","Ursus","Braunbaer",0,9483,0
"GEL0910KAMT3","Ursidae","Ursus","Braunbaer",0,13269,0
"GEL0910KUOT1","Mustelidae","Aonyx","Kurzkrallenotter",0,21652,0
"GEL0910KUOT2","Mustelidae","Aonyx","Kurzkrallenotter",0,21595,0
"GEL0910KUOT3","Mustelidae","Aonyx","Kurzkrallenotter",0,19062,0
"GEL0910NASH1","Rhinocerotidae","Ceratotherium","Breitmaulnashorn",261,22586,0
"GEL0910NASH2","Rhinocerotidae","Ceratotherium","Breitmaulnashorn",501,9438,0
"GEL0910ORAN2","Homininae","Pongo","Orang-Utan",923,18658,0
"GEL0910RENT1","Cervidae","Rangifer","Rentier",499,16317,0
"GEL0910RENT2","Cervidae","Rangifer","Rentier",404,10450,0
"GEL0910RENT3","Cervidae","Rangifer","Rentier",201,9607,0
"GEL1707GIRA1","Giraffidae","Giraffa","Giraffe",282,7913,0
"GEL1707GIRA2","Giraffidae","Giraffa","Giraffe",320,7730,0
"GEL1707GIRA3","Giraffidae","Giraffa","Giraffe",495,7996,0
"GEL1707GIRA4","Giraffidae","Giraffa","Giraffe",551,9665,0
"GEL1707GIRA5","Giraffidae","Giraffa","Giraffe",220,7999,0
"GEL1707GIRA6","Giraffidae","Giraffa","Giraffe",380,7606,0
"GEL1707GIRA7","Giraffidae","Giraffa","Giraffe",517,7266,0
"GEL1707GIRA8","Giraffidae","Giraffa","Giraffe",651,13556,0
"GEL1707NASH1","Rhinocerotidae","Ceratotherium","Breitmaulnashorn",350,13616,0
"GEL1707NASH2","Rhinocerotidae","Ceratotherium","Breitmaulnashorn",207,16147,0
"GEL1707NASH3","Rhinocerotidae","Ceratotherium","Breitmaulnashorn",946,22416,0
"HEI0208TIGRW","Felidae","Panthera","Tiger",0,5884,0
"HEI0911BAER1","Ursidae","Ursus","Braunbaer",0,28030,0
"HEI0911BAER2","Ursidae","Ursus","Braunbaer",0,8288,0
"HEI1011BAER1","Ursidae","Ursus","Braunbaer",0,28550,0
"HEI1011BAER2","Ursidae","Ursus","Braunbaer",0,18949,0
"HEI1111BAER1","Ursidae","Ursus","Braunbaer",0,15765,0
"HEI1111BAER2","Ursidae","Ursus","Braunbaer",0,15682,0
"HEI1206TIGA1","Felidae","Panthera","Tiger",0,16283,0
"HEI1206TIGA2","Felidae","Panthera","Tiger",0,15656,0
"HEI1211BAER1","Ursidae","Ursus","Braunbaer",0,17145,0
"HEI1211BAER2","Ursidae","Ursus","Braunbaer",0,51050,0
"HEI1311BAER1","Ursidae","Ursus","Braunbaer",0,14876,0
"HEI1311BAER2","Ursidae","Ursus","Braunbaer",0,18597,0
"HEI1411BAER1","Ursidae","Ursus","Braunbaer",0,13557,0
"HEI1411BAER2","Ursidae","Ursus","Braunbaer",0,22847,0
"HEI1511BAER1","Ursidae","Ursus","Braunbaer",0,10630,0
"HEI1511BAER2","Ursidae","Ursus","Braunbaer",0,14097,0
"HEI1611BAER2","Ursidae","Ursus","Braunbaer",0,14944,0
"HEI1710BAERW","Ursidae","Ursus","Braunbaer",0,5767,0
"HEI1908BAERK","Ursidae","Ursus","Braunbaer",0,8490,0
"HEI2002ZEBR1","Equidae","Equus","Steppenzebra",39,1826,0
"HEI2002ZEBR2","Equidae","Equus","Steppenzebra",196,9880,0
"HEI2002ZEBR3","Equidae","Equus","Steppenzebra",164,3096,0
"KLN1707GIRA1","Giraffidae","Giraffa","Giraffe",143,11342,0
"KLN1707GIRA2","Giraffidae","Giraffa","Giraffe",298,12832,0
"KLN1707GIRA3","Giraffidae","Giraffa","Giraffe",148,13431,0
"KLN1707GIRA4","Giraffidae","Giraffa","Giraffe",397,22352,0
"KLN1707OKAP1","Giraffidae","Okapia","Okapi",385,23721,0
"KLN1707OKAP2","Giraffidae","Okapia","Okapi",432,18333,0
"KLN1707OKAP3","Giraffidae","Okapia","Okapi",843,27702,0
"KLN1707ORAN1","Homininae","Pongo","Orang-Utan",171,15913,41
"KLN1707ORAN2","Homininae","Pongo","Orang-Utan",304,17045,77
"KLN1707VARI1","Lemuridae","Varecia","Vari",325,22687,0
"KLN1707VARI2","Lemuridae","Varecia","Vari",1186,20256,0
"KLN1805ZEBR1","Equidae","Equus","Grevyzebra",174,10235,0
"KLN1805ZEBR2","Equidae","Equus","Grevyzebra",292,9433,0
"KLN1805ZEBR3","Equidae","Equus","Grevyzebra",446,11552,0
"KLN1905ERDM1","Herpestidae","Suricata","Erdmaennchen",0,18190,0
"KLN1905ERDM2","Herpestidae","Suricata","Erdmaennchen",0,16565,0
"KLN1905NASH1","Rhinocerotidae","Diceros","Spitzmaulnashorn",182,22577,0
"KLN1905ZEBR1","Equidae","Equus","Grevyzebra",158,13726,0
"KLN1905ZEBR2","Equidae","Equus","Grevyzebra",264,15038,0
"KLN2005ERDM1","Herpestidae","Suricata","Erdmaennchen",0,11667,0
"KLN2005ERDM2","Herpestidae","Suricata","Erdmaennchen",0,11866,0
"KLN2005NASH1","Rhinocerotidae","Diceros","Spitzmaulnashorn",535,14809,0
"KLN2005NASH2","Rhinocerotidae","Diceros","Spitzmaulnashorn",258,15682,0
"KLN2802FLUS1","Hippopotamidae","Hippopotamus","Flusspferd",298,9942,0
"KLN2802FLUS2","Hippopotamidae","Hippopotamus","Flusspferd",1251,15467,0
"KLN2802FLUS3","Hippopotamidae","Hippopotamus","Flusspferd",711,10155,0
"KLN2802FLUS4","Hippopotamidae","Hippopotamus","Flusspferd",579,9631,0
"KLN2802FLUS5","Hippopotamidae","Hippopotamus","Flusspferd",558,9059,0
"KLN2802GORI1","Homininae","Gorilla","Gorilla",559,6535,0
"KLN2802GORI2","Homininae","Gorilla","Gorilla",900,8367,0
"KLN2802GORI3","Homininae","Gorilla","Gorilla",491,10096,0
"KLN2802GORI4","Homininae","Gorilla","Gorilla",884,8334,0
"KLN2802IMPA1","Bovidae","Aepyceros","Impala",305,1694,0
"KLN2802IMPA2","Bovidae","Aepyceros","Impala",287,3148,0
"KLN2802IMPA3","Bovidae","Aepyceros","Impala",556,4138,0
"KLN2802IMPA4","Bovidae","Aepyceros","Impala",279,2420,0
"KLN2802IMPA5","Bovidae","Aepyceros","Impala",524,2968,0
"KLN2802PINS1","Suidae","Potamochoerus","Pinselohrschwein",362,12197,0
"KLN2802PINS2","Suidae","Potamochoerus","Pinselohrschwein",787,8139,0
"KLN2802PINS3","Suidae","Potamochoerus","Pinselohrschwein",581,17301,0
"KLN2802PINS4","Suidae","Potamochoerus","Pinselohrschwein",520,15310,0
"KLN2802PINS5","Suidae","Potamochoerus","Pinselohrschwein",577,6804,0
"KLN2802TIGA1","Felidae","Panthera","Tiger",0,28442,0
"KLN2802TIGA2","Felidae","Panthera","Tiger",0,17140,0
"KLN2802TIGA4","Felidae","Panthera","Tiger",0,27950,0
"KLN2802TIGA5","Felidae","Panthera","Tiger",0,27565,0
"KLN2802TRAM1","Camelidae","Camelus","Trampeltier",196,3695,0
"KLN2802TRAM2","Camelidae","Camelus","Trampeltier",782,4373,0
"KLN2802TRAM3","Camelidae","Camelus","Trampeltier",609,3736,0
"KRE0706GEPA1","Felidae","Acinonyx","Gepard",0,2150,0
"KRE0706GEPA2","Felidae","Acinonyx","Gepard",0,4094,0
"KRE0706GEPA3","Felidae","Acinonyx","Gepard",0,6888,0
"KRE0706GEPA4","Felidae","Acinonyx","Gepard",0,1712,0
"KRE0706JAGU1","Felidae","Panthera","Jaguar",0,4230,0
"KRE0706JAGU2","Felidae","Panthera","Jaguar",0,4181,0
"KRE0706JAGU3","Felidae","Panthera","Jaguar",0,3602,0
"KRE0706JAGU4","Felidae","Panthera","Jaguar",0,4827,0
"KRE0706LOEF1","Canidae","Otocyon","Loeffelhund",0,5901,0
"KRE0706LOEF2","Canidae","Otocyon","Loeffelhund",0,1559,0
"KRE0706LOEF3","Canidae","Otocyon","Loeffelhund",0,4531,0
"KRE0706PAND1","Ailuridae","Ailurus","Roter_Panda",0,9958,0
"KRE0706PAND2","Ailuridae","Ailurus","Roter_Panda",0,9722,0
"KRE0706PAND3","Ailuridae","Ailurus","Roter_Panda",0,5719,0
"KRE0706SEEL1","Felidae","Panthera","Schneeleopard",0,6460,0
"KRE0706SEEL2","Felidae","Panthera","Schneeleopard",0,7996,0
"KRE0706SEEL3","Felidae","Panthera","Schneeleopard",0,6255,0
"KRE0706SEEL4","Felidae","Panthera","Schneeleopard",0,8913,0
"KRE1306GEPA3","Felidae","Acinonyx","Gepard",0,7177,0
"KRE1306GEPA4","Felidae","Acinonyx","Gepard",0,6114,0
"KRE1406JAGU5","Felidae","Panthera","Jaguar",0,4257,0
"KRE1406JAGU6","Felidae","Panthera","Jaguar",0,3512,0
"KRE1406JAGU7","Felidae","Panthera","Jaguar",0,2041,0
"KRE1406LOEF4","Canidae","Otocyon","Loeffelhund",0,2008,0
"KRE1406PAND4","Ailuridae","Ailurus","Roter_Panda",0,11335,0
"KRE1406SEEL5","Felidae","Panthera","Schneeleopard",0,13493,0
"KRE1406SEEL6","Felidae","Panthera","Schneeleopard",0,16407,0
"LAN0108GNUS1","Bovidae","Connochaetes","Gnu",3576,31139,0
"LAN0108GNUS2","Bovidae","Connochaetes","Gnu",1131,9428,0
"LAN0108GNUS3","Bovidae","Connochaetes","Gnu",1597,12349,0
"LAN0108ZEBR1","Equidae","Equus","Bergzebra",561,6794,0
"LAN0108ZEBR2","Equidae","Equus","Bergzebra",1892,11864,0
"LAN0208GNUS1","Bovidae","Connochaetes","Gnu",3358,19304,0
"LAN0208GNUS2","Bovidae","Connochaetes","Gnu",846,4989,0
"LAN0208GNUS3","Bovidae","Connochaetes","Gnu",501,11864,0
"LAN0208ZEBR1","Equidae","Equus","Bergzebra",1208,20290,0
"LAN0208ZEBR2","Equidae","Equus","Bergzebra",1101,23344,0
"LAN0305GEPA3","Felidae","Acinonyx","Gepard",0,1952,0
"LAN0305GEPA4","Felidae","Acinonyx","Gepard",0,2284,0
"LAN0305TIGA2","Felidae","Panthera","Tiger",0,3374,0
"LAN0305WALD1","Canidae","Speothos","Waldhund",0,5770,0
"LAN0308GNUS1","Bovidae","Connochaetes","Gnu",938,8983,0
"LAN0308GNUS2","Bovidae","Connochaetes","Gnu",1652,17029,0
"LAN0308GNUS3","Bovidae","Connochaetes","Gnu",575,4111,0
"LAN0308ZEBR1","Equidae","Equus","Bergzebra",324,8524,0
"LAN0308ZEBR2","Equidae","Equus","Bergzebra",276,8216,0
"LAN0606GNUS1","Bovidae","Connochaetes","Gnu",465,47730,0
"LAN0606GNUS2","Bovidae","Connochaetes","Gnu",113,13677,0
"LAN0606GNUS3","Bovidae","Connochaetes","Gnu",249,18694,0
"LAN0606GNUS4","Bovidae","Connochaetes","Gnu",127,13541,0
"LAN1312GNUS1","Bovidae","Connochaetes","Gnu",1157,23653,0
"LAN1312GNUS2","Bovidae","Connochaetes","Gnu",393,11156,0
"LAN1312ZEBR1","Equidae","Equus","Bergzebra",39,4077,0
"LAN1312ZEBR2","Equidae","Equus","Bergzebra",0,696,0
"LAN1412GNUS1","Bovidae","Connochaetes","Gnu",1722,33391,0
"LAN1412GNUS2","Bovidae","Connochaetes","Gnu",1256,15928,0
"LAN1412ZEBR1","Equidae","Equus","Bergzebra",225,3893,0
"LAN1412ZEBR2","Equidae","Equus","Bergzebra",44,3739,0
"LAN1511ZEBR1","Equidae","Equus","Bergzebra",219,2423,0
"LAN1511ZEBR2","Equidae","Equus","Bergzebra",0,1559,0
"LAN1512GEPA2","Felidae","Acinonyx","Gepard",0,24064,0
"LAN1512GNUS1","Bovidae","Connochaetes","Gnu",279,4983,0
"LAN1512GNUS2","Bovidae","Connochaetes","Gnu",2979,31364,0
"LAN1612GEPA1","Felidae","Acinonyx","Gepard",0,21495,0
"LAN1612GNUS1","Bovidae","Connochaetes","Gnu",445,4608,0
"LAN1612GNUS2","Bovidae","Connochaetes","Gnu",552,4949,0
"LAN1612ZEBR1","Equidae","Equus","Bergzebra",96,1797,0
"LAN1612ZEBR2","Equidae","Equus","Bergzebra",54,1189,0
"LAN1711ZEBR1","Equidae","Equus","Bergzebra",93,4799,0
"LAN1711ZEBR2","Equidae","Equus","Bergzebra",0,676,0
"LAN1712GEPA2","Felidae","Acinonyx","Gepard",0,50270,0
"LAN1712GNUS1","Bovidae","Connochaetes","Gnu",214,3380,0
"LAN1712GNUS2","Bovidae","Connochaetes","Gnu",633,7071,0
"LAN1712TIGA1","Felidae","Panthera","Tiger",0,19809,0
"LAN1811ZEBR1","Equidae","Equus","Bergzebra",91,3202,0
"LAN1811ZEBR2","Equidae","Equus","Bergzebra",0,7744,0
"LAN1812GEPA1","Felidae","Acinonyx","Gepard",0,7851,0
"LAN1812GNUS1","Bovidae","Connochaetes","Gnu",1134,10542,0
"LAN1812GNUS2","Bovidae","Connochaetes","Gnu",547,7746,0
"LAN1812TIGA2","Felidae","Panthera","Tiger",0,25758,0
"LAN1911ZEBR1","Equidae","Equus","Bergzebra",117,4847,0
"LAN1911ZEBR2","Equidae","Equus","Bergzebra",19,6645,0
"LAN1912GNUS1","Bovidae","Connochaetes","Gnu",493,7291,0
"LAN1912GNUS2","Bovidae","Connochaetes","Gnu",3789,47948,0
"LAN1912TIGA1","Felidae","Panthera","Tiger",0,24295,0
"LAN2011ZEBR1","Equidae","Equus","Bergzebra",0,1301,0
"LAN2011ZEBR2","Equidae","Equus","Bergzebra",432,7665,0
"LAN2012GNUS1","Bovidae","Connochaetes","Gnu",281,6861,0
"LAN2012GNUS2","Bovidae","Connochaetes","Gnu",317,5114,0
"LAN2604FENN1","Canidae","Vulpes","Fennek",0,8198,0
"LAN2604FENN2","Hippopotamidae","Hippopotamus","Fennek",0,10039,0
